"Raw_Reads"	"Trimmed_Reads"	"Dada2_FWD"	"Dada2_REV"	"Merged_Read_Count"	"Final_Read_Count"
"Buff-Neg_S126_fastp_1.fastq"	63	30	18	30	18	18
"CT-1_S1_fastp_1.fastq"	53619	46620	45761	45932	32703	30408
"CT-13_S5_fastp_1.fastq"	33220	28370	27998	28112	23393	22784
"CT-14_S6_fastp_1.fastq"	47752	40523	40007	40159	31201	29917
"CT-15_S10_fastp_1.fastq"	44144	41146	40501	40769	29441	26328
"CT-16_S11_fastp_1.fastq"	47138	43180	42665	42894	31417	30469
"CT-17_S12_fastp_1.fastq"	40340	37025	36625	36784	29131	28489
"CT-2_S2_fastp_1.fastq"	34106	30694	30244	30412	25253	25033
"CT-3_S3_fastp_1.fastq"	26408	24336	23542	23865	19005	17430
"CT-4_S4_fastp_1.fastq"	28805	26212	25738	25962	22153	21961
"CT-5_S7_fastp_1.fastq"	25000	22901	22485	22645	18793	18617
"CT-6_S8_fastp_1.fastq"	40250	35537	34963	35201	26242	25577
"CT-7_S9_fastp_1.fastq"	32707	29176	28661	28871	24034	23725
"HT-16_S13_fastp_1.fastq"	38197	32317	31859	31816	22553	22212
"HT-18_S14_fastp_1.fastq"	33290	29497	28984	29179	24085	23895
"HT-19_S19_fastp_1.fastq"	42681	37751	37055	37325	33840	32516
"HT-20_S20_fastp_1.fastq"	28094	25599	25187	25372	23656	23384
"HT-21_S21_fastp_1.fastq"	36947	32989	32480	32717	30296	29884
"HT-28_S15_fastp_1.fastq"	38532	36077	35641	35781	33909	32215
"HT-30_S23_fastp_1.fastq"	45699	39427	38839	38985	32550	30986
"HT-32_S16_fastp_1.fastq"	41173	35819	35247	35294	29542	28905
"HT-37_S24_fastp_1.fastq"	44025	39345	38763	39019	31884	30683
"HT-40_S17_fastp_1.fastq"	20441	17463	17281	17365	14082	13873
"HT-41_S18_fastp_1.fastq"	42254	35899	35581	35498	28394	26683
"HT-8_S22_fastp_1.fastq"	36900	32793	32255	32485	28885	28398
